x0000,y0000
77.6937466595,-0.0302491405
77.7819347942,-0.0375826057
77.8701229289,-0.0340905268
77.9583110636,-0.0207757704
78.0464991983,-0.0014665488
78.134687333,0.0182849375
78.2228754677,0.0328008847
78.3110636024,0.0379112113
78.3992517370,0.0321509278
78.4874398717,0.0171785810
78.5756280064,-0.0027018929
78.6638161411,-0.0217770802
78.7520042758,-0.0345638206
78.8401924105,-0.0373842302
78.9283805452,-0.0294248322
79.0165686799,-0.0129739614
79.1047568145,0.0072340629
79.1929449492,0.0253816488
79.2811330839,0.0362448037
79.3693212186,0.0366987749
79.4575093533,0.0266168897
79.545697488,0.0089043713
79.6338856227,-0.0113399719
79.7220737573,-0.0282908145
79.8102618920,-0.0370705023
79.8984500267,-0.035151224
79.9866381614,-0.0230836538
80.0748262961,-0.0043415738
80.1630144308,0.0156757877
80.2512025655,0.0311990111
80.3393907002,0.0377533305
80.4275788348,0.0334508385
80.5157669695,0.0195349207
80.6039551042,0.0000196733
80.6921432389,-0.019469459
80.7803313736,-0.0333172448
80.8685195083,-0.0375350128
80.956707643,-0.0309080958
81.0448957777,-0.0153458993
81.1330839123,0.0046660738
81.2212720470,0.0233566405
81.3094601817,0.0353326920
81.3976483164,0.0371370582
81.4858364511,0.0282489693
81.5740245858,0.0112356754
81.6622127205,-0.0089898203
81.7504008552,-0.0265892610
81.8385889898,-0.0364851925
81.9267771245,-0.0358249593
82.0149652592,-0.0248015163
82.1031533939,-0.0065966611
82.1913415286,0.0135357371
82.2795296633,0.0297836224
82.367717798,0.0374535540
82.4559059327,0.0343277399
82.5440940673,0.0213080479
82.6322822020,0.0021576547
82.7204703367,-0.0175869719
82.8086584714,-0.0322186118
82.8968466061,-0.0375105295
82.9850347408,-0.0319372160
83.0732228755,-0.0171126964
83.1614110102,0.0026777783
83.2495991448,0.0217154379
83.3377872795,0.0344983373
83.4259754142,0.0373300536
83.5141635489,0.0293894706
83.6023516836,0.0129715115
83.6905398183,-0.0071739094
83.778727953,-0.0252159929
83.8669160877,-0.0359326024
83.9551042223,-0.0362237732
84.0432923570,-0.0260088619
84.1314804917,-0.0082475963
84.2196686264,0.0119187033
84.3078567611,0.0286550990
84.3960448958,0.0371195785
84.4842330305,0.0348624091
84.5724211652,0.0225355050
84.6606092998,0.0037064168
84.7487974345,-0.0161717820
84.8369855692,-0.0313391994
84.9251737039,-0.0373997732
85.0133618386,-0.0325977509
85.1015499733,-0.0183274486
85.189738108,0.0012723979
85.2779262427,0.0205204633
85.3661143773,0.033840153
85.4543025120,0.0373741514
85.5424906467,0.0300999566
85.6306787814,0.0141255257
85.7188669161,-0.0059198350
85.8070550508,-0.0242246317
85.8952431855,-0.035479014
85.9834313201,-0.0364163534
86.0716194548,-0.0267639552
86.1598075895,-0.0093241252
