D. M. Wieliczka and S. Weng and M. R. Querry, "Wedge shaped cell for
highly absorbent liquids: infrared optical constants of water," Appl.
Opt., 28, 1714--1719, (1989).

wavelength	absorption
(nm)	(1/cm)
6153.8	2440.2
6150.1	2474.4
6146.3	2496.4
6142.5	2520.4
6138.7	2554.7
6135.0	2564.5
6131.2	2586.6
6127.5	2608.7
6123.7	2620.5
6120.0	2630.3
6116.2	2648.4
6112.5	2654.1
6108.7	2670.1
6105.0	2680.0
6101.3	2691.9
6097.6	2697.7
6093.8	2684.9
6090.1	2709.2
6086.4	2710.9
6082.7	2702.2
6079.0	2703.9
6075.3	2691.0
6071.6	2676.1
6068.0	2673.6
6064.3	2664.8
6060.6	2658.2
6056.9	2657.7
6053.3	2651.0
6049.6	2631.8
6045.9	2618.9
6042.3	2614.2
6038.6	2607.5
6035.0	2602.8
6031.4	2583.5
6027.7	2564.3
6024.1	2532.4
6020.5	2519.3
6016.8	2500.0
6013.2	2478.5
6009.6	2450.7
6006.0	2427.1
6002.4	2392.9
5998.8	2365.0
5995.2	2335.0
5991.6	2294.5
5988.0	2264.4
5984.4	2236.3
5980.9	2206.2
5977.3	2165.4
5973.7	2126.7
5970.1	2097.1
5966.6	2060.8
5963.0	2022.0
5959.5	1991.2
5955.9	1960.9
5952.4	1929.6
5948.8	1740.8
5945.3	1705.3
5941.8	1682.2
5938.2	1650.4
5934.7	1598.2
5931.2	1561.0
5927.7	1535.5
5924.2	1505.4
5920.7	1480.8
5917.2	1446.0
5913.7	1416.7
5910.2	1386.3
5906.7	1357.3
5903.2	1330.9
5899.7	1302.5
5896.2	1265.8
5892.8	1242.0
5889.3	1209.2
5885.8	1178.3
5882.4	1152.3
5878.9	1128.2
5875.4	1107.0
5872.0	1085.4
5868.5	1059.9
5865.1	1044.3
5861.7	1025.2
5858.2	1002.6
5854.8	984.31
5851.4	967.27
5848.0	948.29
5844.5	931.00
5841.1	914.97
5837.7	896.57
5834.3	878.57
5830.9	863.13
5827.5	844.44
5824.1	830.69
5820.7	814.77
5817.3	800.12
5814.0	785.67
5810.6	772.72
5807.2	759.97
5803.8	748.29
5800.5	734.42
5797.1	723.58
5793.7	712.72
5790.4	702.28
5787.0	690.96
5783.7	681.58
5780.3	671.76
5777.0	661.71
5773.7	651.21
5770.3	640.91
5767.0	630.60
5763.7	621.59
5760.4	612.57
5757.1	603.76
5753.7	594.93
5750.4	585.44
5747.1	576.37
5743.8	569.49
5740.5	561.93
5737.2	554.81
5733.9	544.39
5730.7	536.80
5727.4	528.56
5724.1	520.30
5720.8	512.47
5717.6	503.97
5714.3	497.00
5711.0	488.26
5707.8	476.65
5704.5	448.95
5701.3	421.43
5698.0	420.57
5694.8	410.88
5691.5	405.81
5688.3	400.74
5685.0	395.89
5681.8	391.47
5678.6	387.04
5675.4	382.83
5672.1	378.40
5668.9	374.18
5665.7	370.40
5662.5	366.61
5659.3	363.05
5656.1	359.25
5652.9	355.90
5649.7	352.32
5646.5	348.96
5643.3	346.04
5640.2	342.89
5637.0	339.96
5633.8	337.03
5630.6	334.32
5627.5	331.61
5624.3	328.89
5621.1	326.39
5618.0	323.89
5614.8	321.61
5611.7	319.33
5608.5	317.04
5605.4	314.98
5602.2	312.69
5599.1	310.62
5596.0	308.55
5592.8	306.70
5589.7	304.85
5586.6	303.22
5583.5	301.36
5580.4	299.95
5577.2	298.32
5574.1	296.91
5571.0	295.27
5567.9	294.08
5564.8	292.43
5561.7	291.01
5558.6	289.59
5555.6	288.17
5552.5	286.97
5549.4	285.77
5546.3	284.35
5543.2	283.14
5540.2	282.17
5537.1	280.74
5534.0	279.53
5531.0	278.55
5527.9	277.34
5524.9	276.35
5521.8	275.14
5518.8	274.38
5515.7	273.17
5512.7	272.40
5509.6	271.19
5506.6	270.42
5503.6	269.43
5500.6	268.44
5497.5	267.44
5494.5	266.67
5491.5	265.68
5488.5	264.68
5485.5	263.68
5482.5	262.90
5479.5	261.90
5476.5	261.13
5473.5	260.12
5470.5	259.12
5467.5	258.34
5464.5	257.56
5461.5	256.78
5458.5	255.77
5455.5	254.99
5452.6	254.21
5449.6	253.65
5446.6	252.87
5443.7	252.31
5440.7	251.53
5437.7	250.97
5434.8	250.41
5431.8	249.85
5428.9	249.30
5425.9	248.74
5423.0	248.18
5420.1	247.62
5417.1	247.05
5414.2	246.49
5411.3	246.16
5408.3	245.60
5405.4	245.26
5402.5	244.70
5399.6	244.13
5396.7	243.80
5393.7	243.46
5390.8	243.36
5387.9	243.03
5385.0	242.92
5382.1	242.82
5379.2	242.49
5376.3	242.38
5373.5	242.28
5370.6	242.18
5367.7	242.07
5364.8	241.97
5361.9	241.86
5359.1	241.76
5356.2	241.89
5353.3	241.78
5350.5	241.68
5347.6	241.81
5344.7	241.93
5341.9	242.06
5339.0	242.19
5336.2	242.56
5333.3	242.69
5330.5	242.82
5327.7	243.18
5324.8	243.31
5322.0	243.68
5319.1	243.81
5316.3	243.94
5313.5	244.07
5310.7	244.43
5307.9	244.80
5305.0	244.93
5302.2	245.30
5299.4	245.43
5296.6	245.56
5293.8	245.69
5291.0	245.82
5288.2	246.18
5285.4	246.55
5282.6	246.68
5279.8	246.81
5277.0	247.18
5274.3	247.55
5271.5	248.16
5268.7	248.29
5265.9	248.66
5263.2	248.79
5260.4	249.16
5257.6	249.29
5254.9	249.42
5252.1	249.79
5249.3	249.92
5246.6	250.05
5243.8	250.18
5241.1	250.56
5238.3	250.69
5235.6	250.82
5232.9	250.95
5230.1	251.08
5227.4	251.45
5224.7	251.58
5221.9	251.96
5219.2	252.09
5216.5	252.22
5213.8	252.59
5211.0	252.72
5208.3	253.10
5205.6	253.47
5202.9	253.84
5200.2	254.22
5197.5	254.59
5194.8	254.72
5192.1	255.10
5189.4	255.47
5186.7	255.85
5184.0	256.46
5181.3	256.84
5178.7	257.22
5176.0	257.83
5173.3	258.21
5170.6	258.83
5168.0	259.45
5165.3	259.83
5162.6	260.45
5160.0	261.07
5157.3	261.69
5154.6	262.32
5152.0	262.94
5149.3	263.81
5146.7	264.43
5144.0	265.05
5141.4	265.92
5138.7	266.55
5136.1	267.18
5133.5	268.05
5130.8	268.92
5128.2	269.79
5125.6	270.67
5123.0	271.54
